filename,logit,time
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/15mm-wide-angle-lens-photo-of-a-rapper-in-1990-new-york-v0-rgr4pg3ka9791.PNG,-15.446487,0.489802
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/1vo6jjh5yra91.PNG,-13.611574,0.489127
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/2-ctPrwa5uOHwZsjPIG5pcmidIseUXA92z8sIzkbEks.PNG,-14.852446,0.493313
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/380u9iwdngs91.PNG,-6.953320,0.386924
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/7du7al7z3z991.PNG,-14.367378,0.485608
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/9d15espdx2991.PNG,-7.053741,0.474090
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/a-medieval-painting-of-the-wifi-not-working-v0-6fyjyh7yq5w81.PNG,-11.927341,0.484125
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/a-painting-by-grant-wood-of-an-astronaut-couple-american-v0-8yhgmhr78dx81.PNG,-12.435526,0.485029
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/a-photo-of-a-confused-grizzly-bear-in-calculus-class-v0-8m62tgd1jsw81.PNG,-15.155325,0.486864
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/ab7wq71pb8291.PNG,-12.749887,0.480774
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/adam-eve-v0-31nnid7dv6ub1.PNG,1.901215,0.483026
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/average-person-from-different-us-states-v0-168fqe5lyz7b1.PNG,-2.791119,0.481178
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/cast-of-the-office-in-gta-v-style-v0-ryt5x2oz0cbb1.PNG,-18.886929,0.704759
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/celebrities-if-they-worked-normal-jobs-v0-2028htxpky5b1.PNG,-11.297112,0.491776
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/chatgpt-describe-a-new-mascot-for-a-country-midjourney-v0-pc7j5c0sq69b1.PNG,-6.238896,0.542456
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/control-net-is-too-much-power-v0-h77pqzugioja1.PNG,-14.377159,0.400474
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/countries-as-anime-villains-v0-nupq5twok7pb1.PNG,-14.253300,0.485117
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/freddie-mercury-performs-at-the-2023-san-francisco-pride-v0-ye3gznympz4b1.PNG,-8.107068,0.493292
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/gta-san-andreas-brought-to-life-with-controlnet-img2img-v0-z7kpagr0csja1.PNG,-9.047897,0.153304
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/i-heard-people-are-tired-of-waifus-so-here-is-a-cozy-room-v0-tog5q2e183ra1.PNG,-10.956636,0.847719
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/i-mean-i-wanted-a-thunderstorm-in-a-corn-field-but-v0-pkolldt9nc1b1.PNG,-17.229883,0.321469
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/i-really-like-the-community-here-it-feels-like-we-are-all-v0-kjpbzszni2pa1.PNG,-18.518021,0.554331
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/i-swear-ive-seen-this-town-before-controlnet-depth-map-v0-hddhld824lja1.PNG,-6.044002,0.365237
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/if-famous-musicians-were-the-opposite-gender-v0-gwvr1kzix86b1.PNG,-5.074931,0.477680
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/if-pixar-made-the-harry-potter-series-v0-jntgftflumta1.PNG,-13.979417,0.312447
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/influential-people-as-the-homeless-v0-u0h9tc1ahr9b1.PNG,-14.592981,0.146601
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/iq2b6uifuacc1.PNG,-12.974133,0.320749
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/ive-trained-gta-san-andreas-concept-art-lora-v0-a32nfpflv1za1.PNG,-8.695896,0.480875
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/lets-face-it-this-is-the-most-stereotypical-person-of-a-v0-m2b8wopa0acb1.PNG,-6.748868,0.427092
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/lofi-nuclear-war-to-relax-and-study-to-v0-itsj9w6zsnw91.PNG,-15.100000,0.564913
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/made-a-bunch-of-pepes-with-sd-i-like-this-one-v0-4j67u6jml0za1.PNG,-17.983522,0.550646
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/mgaw4jestt291.PNG,-13.494887,0.492095
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/modern-society-tells-us-that-dresses-are-only-for-women-but-v0-9507a2c4lr3b1.PNG,-10.825733,0.481086
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/most-attractive-man-in-a-country-v0-9pwswqjkat8b1.PNG,-6.432128,0.479380
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/my-collection-of-brokers-bankers-and-lawyers-into-the-wild-v0-r4ehuhfk3lwa1.PNG,-2.314721,0.851190
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/my-indian-dad-accidentally-taking-a-selfie-with-the-front-v0-dnbmj8ixm7891.PNG,-13.776924,0.549586
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/my-take-on-the-real-life-simpsons-v0-2pn8ca119w5b1.PNG,-11.042721,0.483002
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/nuclear-explosion-gender-reveal-party-who-doesnt-love-them-v0-tv9qpo7y8x7a1.PNG,-3.296879,0.283791
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/o19z2x9erje91.PNG,-19.947548,0.489776
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/overly-excited-redditor-frantically-pumping-quarters-into-v0-8syzchk1w6i91.PNG,-15.458040,0.483124
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/p01gjlx36ax81.PNG,-13.059465,0.480050
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/painting-of-the-orange-cat-otto-von-garfield-count-of-v0-352lqaa4mjt81.PNG,-17.019527,0.149614
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/pq8ixwbrlr991.PNG,-16.435936,0.490016
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/rick-rolled-v0-ckil6sgg5nob1.PNG,-22.010437,0.419567
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/spider-man-from-ancient-rome-v0-vcit6daae1491.PNG,-16.813002,0.486847
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/stelfie-log-ulysses-and-the-trojan-horse-v0-dqn67jxm9x4a1.PNG,-11.374254,0.373404
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/subliminal-advertisement-v0-1jwsg311k2pb1.PNG,-13.129980,0.275753
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/the-7-deadly-sins-according-to-midjourney-v0-0mwiyi16md4b1.PNG,-3.159281,0.484697
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/the-elements-of-fire-water-earth-and-air-digital-art-v0-res0680luzg91.PNG,-4.974086,0.472116
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/the-forgotten-kebab-challenge-1979-v0-b7dmq7rfch2c1.PNG,-1.923540,0.499061
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/the-full-quaker-oats-painting-v0-jvy46y87fyl91.PNG,-14.182552,0.495653
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/the-most-average-woman-in-each-us-state-part-1-v0-6df0ini59ryb1.PNG,-18.899851,0.140488
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/the-most-stereotypical-person-in-country-v0-csspc0lhcc0b1.PNG,-4.803850,0.498123
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/the-most-stereotypical-person-in-state-name-v0-0jmu81ja880b1.PNG,-4.220471,0.486569
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/this-is-year-2137-world-tension-is-rising-and-countries-v0-7ku5orukkoab1.PNG,-15.479716,0.321323
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/this-isnt-what-i-asked-for-i-only-want-the-girl-im-new-to-v0-n186t2ltthqa1.PNG,17.747871,0.124547
/kaggle/working/spottingdiffusion-testing-dataset/Generated/Generated/this-took-all-night-but-i-think-it-paid-off-v0-a99p0j37ak1b1.PNG,-33.380192,0.467199
